labela	recenica
info	Draga gđo. Vera, hvala mnogo na karti i izvinite što sam zadocnio sa odgovorom.
emo	Tačno je da u Marseljju nisam nikako dobro sa zdravljem a i posla ima dosta.
info	Naročito mi je nezgodno što su mi ovi poslednji ukazi oduzeli dvojicu činovnika.
info	Zbog toga ne znam da li ću moći na odsustvo krajem maja kao što sam to nameravao.  
info	Tri dana Uskrsa sam proveo u Provansi Arl - Nim - Avinjon.
emo	To su najlepši krajevi koje sam u životu vidio ; njihov čar se ne može naslikati ni opisati.
info	Sad sam opet u Marselju gde život ne pruža mnogo i gde se živi jednolično :između kuće, kancelarije i kavane.
info	Želim vam vesele praznike, i da vam novi stan bude srećan i prijatan.
emo	Uvek vas se seća sa starim prijateljstvom, srdačno vaš Ivo Andrić 
info	Draga gđo. Vera, evo, od sinoć ležim, sa anginom i groznicom.
info	Nema ništa od našeg narodnog veselja.
info	Nadam se do sutra, najdalje prekosutra, prezdraviti.
info	Potražiću vas u Zdravljaku.
info	Vas i Olju pozdravlja vaš Ivo Andrić 
emo	Draga gđo. Vera, molim Vas da se za ovaj put Vi ne ljutite.
info	Predugo sam Vas ostavio bez ikakvih vesti i bez odgovora na vaše pismo od pre mesec i više dana.
emo	Vi mi naravno nećete verovati da me i vaša čestitka prijatno iznenadila i duboko dirnula.
info	Ali ja sam poslednjih mesec dana proveo na Cornichu u stanu svoga mlađeg kolege koji je stalno na bolovanju.
info	Prešao sam u nj jer je pored mora i blizu Konsulata.
info	Međutim i pisma i knjige, pa i vaše pismo sa novom adresom ostavio sam zaključano u Rue St. Jaques.
emo	A glavni razlog: boravak kraj mora, sam u jednoj celoj kući, sve me to bacilo u neku nepokretnost i zamišljenost (bolje reći torpeur) tako da sam, po paradoksu koji Vi razumete, mislio na Vas češće nego inače, a pisao Vam ređe, t.j. nikako.
emo	Bojim se da me niste sasvim izbrisali iz sećanja.
info	Hoću samo da Vas podsetim da sam živ (još) i da Vas nisam nipošto zaboravio.
info	Za vaš novi stan primite moje najbolje želje : da Vam bude srećan i prijatan.
info	Javite mi se, draga gđo. Verhen, jer ne znam kad ću moći doći u Beograd.
info	Možda tek na jesen.
info	Srdačno vaš Ivo Andrić 
info	Draga gđo. Vera, pre tri dana sam se vratio s puta, sa mojom običnom anginom i groznicom zbog koje još čuvam sobu.
info	Putovao sam službenim poslom i proveo 3-4 dana u Parizu i Grenoblu.
info	Vaše pismo su poslali u Grenobl za mnom a juče mi se vratilo iz Grenobla svo išarano pečatima i primedbama kao da je turskom poštom putovalo.
info	Hvala na sećanju.
emo	Ja znam da se vi ne ljutite na mene, ali se ja ljutim na sebe kad vam ne pišem.
info	Ali to je tako: kod nekih je ljudi ogroman jaz između njihovih namera i onoga što stvarno čine.
info	Ovde infernalna vrućina a ja moram da pijem čajeve i gutam aspirine.
info	Vama bih savetovao da odete, pa ma na tri dana, negde u zelenilo.
info	Ako ništa, otidite katkad u Topčider na ručak.
info	Setite se tada i mene.
emo	To mi je najdraže mesto gde sam najslađe i najmirnije jeo hljeb i pio vino.
info	Javite se, draga Vera, opet; pozdravite gđu. mamu i Olju.
info	Srdačno vaš Ivo Andrić
